品牌名称,买家昵称,付款日期,订单状态,实付金额,邮费,省份,城市,购买数量,下单次数
SW,叫我李2,2020/1/1 0:17,交易成功,186,6,上海,上海市,1,21
SW,0cyb1992,2020/1/1 0:59,交易成功,145,0,广东省,广州市,1,14
SW,萝污萌莉,2020/1/1 7:48,交易成功,194,8,山东省,东营市,1,14
SW,atblovemyy,2020/1/1 9:15,交易成功,84,0,江苏省,镇江市,1,2
SW,小星期鱼,2020/1/1 9:59,交易成功,74,0,上海,上海市,1,15
SW,重碎叠,2020/1/1 10:00,交易成功,197,0,江苏省,南京市,1,9
SW,iho_jann,2020/1/1 10:00,交易成功,168,0,广东省,广州市,1,10
SW,2jill27,2020/1/1 10:00,交易成功,121,0,上海,上海市,1,7
SW,yjessieni,2020/1/1 10:00,交易成功,211,0,上海,上海市,1,6
SW,4张洁85,2020/1/1 11:41,交易成功,170,10,河北省,唐山市,1,6
SW,8tb4249_11,2020/1/1 12:08,交易成功,124,0,江苏省,苏州市,1,4
SW,一李一,2020/1/1 12:22,交易成功,247,0,山东省,济南市,1,15
SW,icomitya,2020/1/1 12:40,交易成功,40,0,广东省,深圳市,1,3
SW,5ysgl862918,2020/1/1 12:58,交易成功,192,0,辽宁省,大连市,1,12
SW,8海绵宝宝68,2020/1/1 12:59,交易成功,181,0,江苏省,淮安市,1,5
SW,6ximeng1688,2020/1/1 13:02,交易成功,108,0,山西省,长治市,1,2
SW,包豆,2020/1/1 13:04,交易成功,194,0,广东省,广州市,1,10
SW,w10101122l,2020/1/1 14:58,交易成功,150,0,广东省,梅州市,2,4
SW,0much_money28,2020/1/1 15:01,交易成功,192,0,广东省,深圳市,1,6
SW,马特洛伊驹,2020/1/1 16:42,交易成功,192,0,上海,上海市,1,4
SW,niris_ttg,2020/1/1 19:28,交易成功,269,0,上海,上海市,1,11
SW,3joana01,2020/1/1 19:50,交易成功,246,6,上海,上海市,1,2
SW,5ww136009033,2020/1/1 20:08,交易成功,217,8,广东省,佛山市,1,9
SW,2nalita3,2020/1/1 20:23,交易成功,187,8,山东省,东营市,1,2
SW,eiami_cn,2020/1/1 20:41,交易成功,39,0,上海,上海市,2,4
SW,gdieqi6,2020/1/1 22:06,交易成功,255,0,浙江省,杭州市,1,6
SW,7tb3562,2020/1/1 22:43,交易成功,37,0,河南省,郑州市,2,21
SW,9tb514131,2020/1/2 6:32,交易成功,40,0,辽宁省,沈阳市,1,7
SW,0gzw7359897,2020/1/2 9:32,交易成功,149,0,广东省,广州市,1,10
SW,6格式化孤6,2020/1/2 9:47,交易成功,187,0,河北省,廊坊市,1,9
SW,rmaybememy,2020/1/2 10:00,交易成功,186,0,湖北省,武汉市,1,5
SW,0夏末记忆成0,2020/1/2 10:00,交易成功,240,0,山东省,青岛市,1,10
SW,2ll491,2020/1/2 10:00,交易成功,158,0,河南省,信阳市,1,13
SW,知得之我幸失之我命了,2020/1/2 11:27,交易成功,37,0,湖南省,衡阳市,2,10
SW,样13126172263生,2020/1/2 11:34,交易成功,144,0,广东省,深圳市,1,5
SW,榴门前的花,2020/1/2 11:41,交易成功,97,0,上海,上海市,5,3
SW,土诚信豆,2020/1/2 13:51,交易成功,131,8,北京,北京市,1,2
SW,的未成年独1,2020/1/2 14:32,交易成功,149,8,广东省,深圳市,1,5
SW,5qqqqq88,2020/1/2 15:23,交易成功,247,8,广东省,中山市,1,17
SW,3t_1508381735762_06,2020/1/2 19:34,交易成功,271,0,湖北省,黄石市,1,8
SW,uvoranda_e,2020/1/2 19:47,交易成功,225,0,上海,上海市,2,10
SW,2aminnie2,2020/1/2 20:55,交易成功,74,0,广东省,河源市,1,4
SW,牡法国蛎,2020/1/2 21:17,交易成功,31,0,上海,上海市,3,10
SW,clivril_lk,2020/1/2 21:47,交易成功,250,0,上海,上海市,1,5
SW,0xuhui8407,2020/1/2 23:35,交易成功,228,0,北京,北京市,1,5
SW,lhappyandbee,2020/1/3 0:20,交易成功,84,0,广东省,广州市,1,2
SW,8tb10201118,2020/1/3 7:38,交易成功,125,0,浙江省,杭州市,1,11
SW,0zhangnl0,2020/1/3 8:10,交易成功,115,0,江苏省,南京市,1,13
SW,六云儿一九,2020/1/3 8:17,交易成功,120,0,江苏省,南通市,1,11
SW,2玄08,2020/1/3 10:00,交易成功,199,0,湖南省,湘潭市,1,7
SW,rvincentsaka,2020/1/3 10:00,交易成功,202,0,福建省,厦门市,1,19
SW,2叶嘉琪01,2020/1/3 10:00,交易成功,231,0,浙江省,杭州市,1,9
SW,gmoneyfu4,2020/1/3 10:00,交易成功,108,0,广东省,东莞市,1,3
SW,yzhou3,2020/1/3 10:36,交易成功,84,0,浙江省,杭州市,1,5
SW,枉呆,2020/1/3 13:00,交易成功,227,6,上海,上海市,1,7
SW,0迟来的幸0,2020/1/3 14:08,交易成功,266,0,福建省,厦门市,1,11
SW,1katherine_3,2020/1/3 14:28,交易成功,142,0,辽宁省,葫芦岛市,1,7
SW,流wb沿着铁轨浪,2020/1/3 14:32,交易成功,81,0,四川省,攀枝花市,2,13
SW,使安格洛者,2020/1/3 14:34,交易成功,40,0,辽宁省,盘锦市,1,6
SW,8小羊羊88,2020/1/3 14:42,交易成功,256,8,福建省,漳州市,1,8
SW,25319872天,2020/1/3 14:51,交易成功,255,8,江西省,上饶市,1,7
SW,5如花似2,2020/1/3 14:59,交易成功,240,8,北京,北京市,1,8
SW,qmartinr,2020/1/3 15:19,交易成功,222,0,上海,上海市,1,8
SW,兼xjb文得,2020/1/3 15:34,交易成功,149,0,广西壮族自治区,玉林市,1,10
SW,qzqzj,2020/1/3 15:49,交易成功,196,8,广东省,广州市,1,3
SW,2qiy97,2020/1/3 20:41,交易成功,208,0,湖北省,武汉市,2,9
SW,yynz7,2020/1/3 20:43,交易成功,37,0,江苏省,南京市,2,3
SW,1冰淇淋07,2020/1/3 20:56,交易成功,149,0,广东省,阳江市,1,3
SW,7xusf838936,2020/1/3 21:02,交易成功,40,0,上海,上海市,1,20
SW,r卜soy,2020/1/3 21:05,交易成功,177,6,浙江省,嘉兴市,1,3
SW,0honest1,2020/1/3 21:50,交易成功,226,0,黑龙江省,牡丹江市,1,2
SW,2hina_01,2020/1/3 22:01,交易成功,34,0,上海,上海市,3,6
SW,6从今以后26,2020/1/3 22:47,交易成功,213,0,广东省,惠州市,1,15
SW,pdinga,2020/1/3 22:54,交易成功,143,0,黑龙江省,佳木斯市,1,6
SW,的大陆是好,2020/1/3 23:23,交易成功,49,0,湖北省,黄冈市,2,4
SW,2何苗13901,2020/1/4 0:01,交易成功,66,0,四川省,成都市,6,2
SW,小小小奎,2020/1/4 0:10,交易成功,84,0,广东省,广州市,1,2
SW,1sarahcc20,2020/1/4 0:43,交易成功,145,8,广东省,汕头市,1,2
SW,0大家姐07,2020/1/4 2:07,交易成功,134,0,广东省,广州市,1,10
SW,时哈季后赛咳咳间,2020/1/4 9:24,交易成功,133,0,福建省,漳州市,1,8
SW,璃小子,2020/1/4 10:00,交易成功,161,0,江西省,吉安市,1,3
SW,兔我爱子,2020/1/4 10:00,交易成功,105,0,福建省,厦门市,1,13
SW,絮小小小小絮,2020/1/4 10:00,交易成功,201,0,贵州省,贵阳市,1,6
SW,3浅夏00,2020/1/4 10:00,交易成功,232,0,四川省,自贡市,1,8
SW,5樱桃125,2020/1/4 11:15,交易成功,213,0,广东省,中山市,1,10
SW,伊俊人,2020/1/4 11:57,交易成功,156,0,广东省,东莞市,1,16
SW,2qiannan513,2020/1/4 12:31,交易成功,151,0,浙江省,宁波市,1,6
SW,1sun7224,2020/1/4 12:41,交易成功,242,6,江苏省,苏州市,1,5
SW,8顺其自然60198,2020/1/4 12:50,交易成功,196,0,山东省,烟台市,8,3
SW,7christina_x8,2020/1/4 12:57,交易成功,149,0,北京,北京市,1,7
SW,什兰什么,2020/1/4 13:03,交易成功,250,0,福建省,厦门市,1,9
SW,佩绮,2020/1/4 15:05,交易成功,250,0,上海,上海市,1,4
SW,苏蓝末华纪离,2020/1/4 16:34,交易成功,40,0,北京,北京市,1,13
SW,4大大大_10,2020/1/4 17:40,交易成功,229,0,安徽省,合肥市,1,7
SW,4大大大_10,2020/1/4 17:44,交易成功,182,0,安徽省,宿州市,1,1
SW,9luwei13,2020/1/4 19:21,交易成功,132,0,浙江省,嘉兴市,1,10
SW,6t_1495255826986_06,2020/1/4 19:26,交易成功,208,0,山东省,潍坊市,1,7
SW,2_小悠_10,2020/1/4 19:48,交易成功,124,0,广东省,深圳市,1,2
SW,土红烧切豆,2020/1/4 19:49,交易成功,73,0,上海,上海市,2,1
SW,1tb31913_21,2020/1/4 20:00,交易成功,261,0,广东省,广州市,1,5
SW,8梦那么4,2020/1/4 20:21,交易成功,117,0,安徽省,宿州市,1,8
SW,黎黎蓓黎蓓,2020/1/4 21:47,交易成功,153,0,贵州省,毕节市,1,9
SW,2荆一加油9309,2020/1/4 23:00,交易成功,180,0,山东省,青岛市,1,5
SW,1driver11,2020/1/5 0:44,交易成功,202,0,上海,上海市,1,9
SW,老诺维茨婆,2020/1/5 8:20,交易成功,174,0,山东省,潍坊市,1,5
SW,4网上银2,2020/1/5 8:35,交易成功,149,0,安徽省,合肥市,1,9
SW,sskittl4,2020/1/5 10:00,交易成功,150,0,上海,上海市,1,6
SW,的紫色爪猫,2020/1/5 10:00,交易成功,139,0,上海,上海市,1,15
SW,blittlelinb,2020/1/5 10:00,交易成功,182,0,广东省,珠海市,1,4
SW,1baoma0008,2020/1/5 10:05,交易成功,145,6,上海,上海市,1,3
SW,娅陈玲,2020/1/5 11:40,交易成功,84,0,上海,上海市,1,14
SW,_sm7呆,2020/1/5 11:50,交易成功,220,0,广东省,深圳市,1,3
SW,c蚊_t,2020/1/5 11:50,交易成功,226,0,广东省,广州市,1,5
SW,9鱼儿yu10,2020/1/5 11:50,交易成功,199,0,广东省,深圳市,1,2
SW,兔挖金子子,2020/1/5 13:01,交易成功,40,0,浙江省,宁波市,1,2
SW,2cocoli6,2020/1/5 15:00,交易成功,176,0,上海,上海市,1,9
SW,0qwe12370,2020/1/5 17:29,交易成功,146,0,江苏省,南通市,2,7
SW,1孙小敗19891,2020/1/5 19:27,交易成功,84,0,辽宁省,抚顺市,1,13
SW,曜晖,2020/1/5 20:17,交易成功,40,0,广东省,佛山市,1,9
SW,子秋的座,2020/1/5 20:44,交易成功,122,0,浙江省,杭州市,1,8
SW,tcocoacay,2020/1/5 22:24,交易成功,49,0,上海,上海市,2,10
SW,2亲程0,2020/1/5 22:34,交易成功,133,0,湖南省,株洲市,1,4
SW,stsoh,2020/1/5 23:23,交易成功,249,0,天津,天津市,1,5
SW,7小小君君032133,2020/1/6 0:17,交易成功,98,0,上海,上海市,3,7
SW,3tb71903563,2020/1/6 6:09,交易成功,150,0,上海,上海市,1,3
SW,0火星公主_28,2020/1/6 8:52,交易成功,49,0,陕西省,榆林市,2,8
SW,_july0,2020/1/6 9:09,交易成功,141,0,北京,北京市,1,7
SW,4tb_01253,2020/1/6 9:58,交易成功,140,0,浙江省,杭州市,1,2
SW,0小刀10,2020/1/6 10:00,交易成功,111,0,广东省,珠海市,1,7
SW,yyuanxiaox,2020/1/6 10:00,交易成功,185,0,江苏省,南京市,1,5
SW,qailingqi,2020/1/6 10:00,交易成功,184,0,四川省,成都市,1,3
SW,1x_t_x4,2020/1/6 10:00,交易成功,140,0,广东省,深圳市,1,19
SW,2小打小闹15,2020/1/6 10:29,交易成功,217,0,上海,上海市,1,7
SW,她哥,2020/1/6 11:15,交易成功,49,0,陕西省,榆林市,2,1
SW,她哥,2020/1/6 11:16,交易成功,49,0,陕西省,榆林市,2,2
SW,n精灵王hug,2020/1/6 11:48,交易成功,267,0,广东省,清远市,1,9
SW,edzyon,2020/1/6 12:01,交易成功,218,0,浙江省,杭州市,1,6
SW,8tb8212288,2020/1/6 12:02,交易成功,122,6,上海,上海市,2,10
SW,aliudaowanhualn,2020/1/6 12:16,交易成功,74,0,江苏省,南京市,3,2
SW,6tb783684,2020/1/6 12:52,交易成功,231,0,北京,北京市,1,10
SW,禅子,2020/1/6 13:41,交易成功,169,0,广东省,广州市,1,9
SW,圣辰,2020/1/6 14:18,交易成功,232,0,北京,北京市,1,11
SW,骏红,2020/1/6 14:36,交易成功,49,0,上海,上海市,2,6
SW,4丁丁当当40,2020/1/6 14:52,交易成功,181,0,云南省,昆明市,1,11
SW,2joanna_07,2020/1/6 15:44,交易成功,73,0,北京,北京市,2,3
SW,培媚,2020/1/6 15:57,交易成功,61,0,浙江省,台州市,3,8
SW,2ada08,2020/1/6 16:34,交易成功,215,6,江苏省,苏州市,1,11
SW,1tb988345_23,2020/1/6 16:57,交易成功,139,0,黑龙江省,大庆市,1,2
SW,skimkris,2020/1/6 17:13,交易成功,84,0,湖南省,湘潭市,1,12
SW,赛乖赛,2020/1/6 17:28,交易成功,172,0,浙江省,丽水市,1,5
SW,太美,2020/1/6 20:51,交易成功,40,0,山东省,德州市,1,2
SW,2kc1231233,2020/1/6 21:04,交易成功,49,0,黑龙江省,哈尔滨市,1,2
SW,2pengsong00,2020/1/6 21:14,交易成功,84,0,广东省,广州市,1,8
SW,5hefang7812,2020/1/7 8:01,交易成功,49,0,江苏省,无锡市,2,8
SW,之六月魂,2020/1/7 8:23,交易成功,44,0,广东省,广州市,2,9
SW,昔葡萄味的小呀,2020/1/7 10:00,交易成功,250,0,湖南省,长沙市,1,2
SW,2tingting0808,2020/1/7 10:00,交易成功,161,0,广东省,惠州市,1,4
SW,晓鬼鬼晓,2020/1/7 10:00,交易成功,178,0,上海,上海市,1,10
SW,l则卷_are,2020/1/7 10:00,交易成功,168,0,北京,北京市,1,9
SW,njetao,2020/1/7 10:00,交易成功,218,0,湖北省,武汉市,1,13
SW,宝泰山芳,2020/1/7 10:54,交易成功,271,0,山东省,枣庄市,1,8
