date,exposure,new_user
2020/1/1,146519,2373
2020/1/2,186190,3201
2020/1/3,174224,3013
2020/1/4,155947,2724
2020/1/5,143138,2473
2020/1/6,128007,2166
2020/1/7,151664,2637
2020/1/8,163473,2882
2020/1/9,166815,2880
2020/1/10,150577,2604
2020/1/11,140326,2473
2020/1/12,112700,1993
2020/1/13,105163,1879
2020/1/14,117580,2069
2020/1/15,144011,2416
2020/1/16,165041,2889
2020/1/17,161749,2810
2020/1/18,155359,2688
2020/1/19,139953,2399
2020/1/20,119824,2038
2020/1/21,130849,2158
2020/1/22,149440,2449
2020/1/23,175606,2931
2020/1/24,163709,2756
2020/1/25,151537,2547
2020/1/26,137445,2304
2020/1/27,111161,1913
2020/1/28,112308,1898
2020/1/29,101537,1748
2020/1/30,97578,1577
2020/1/31,88513,1476
2020/2/1,92668,1590
2020/2/2,89366,1472
2020/2/3,90316,1483
2020/2/4,93433,1531
2020/2/5,103615,1658
2020/2/6,130937,2050
2020/2/7,159416,2783
2020/2/8,154683,2732
2020/2/9,151772,2677
2020/2/10,136925,2363
2020/2/11,119501,2065
2020/2/12,131868,2255
2020/2/13,128585,2274
2020/2/14,128644,2207
2020/2/15,121853,2082
2020/2/16,111465,1854
2020/2/17,103987,1592
2020/2/18,103791,1749
2020/2/19,120765,1993
2020/2/20,126998,2110
2020/2/21,122225,2012
2020/2/22,115081,1898
2020/2/23,106398,1736
2020/2/24,89523,1482
2020/2/25,92218,1523
2020/2/26,116678,1825
2020/2/27,109818,1867
2020/2/28,103889,1729
2020/2/29,98343,1588
2020/3/1,95422,1540
2020/3/2,86769,1423
2020/3/3,104595,1590
2020/3/4,112876,1748
2020/3/5,118452,1955
2020/3/6,109750,1816
2020/3/7,106369,1719
2020/3/8,101645,1664
2020/3/9,92619,1470
2020/3/10,95158,1605
2020/3/11,96206,1531
2020/3/12,104781,1565
2020/3/13,119785,1814
2020/3/14,116090,1763
2020/3/15,107682,1653
2020/3/16,100900,1501
2020/3/17,110279,1717
2020/3/18,119991,1892
2020/3/19,109867,1753
2020/3/20,106310,1666
2020/3/21,99881,1590
2020/3/22,97960,1573
2020/3/23,88151,1387
2020/3/24,94756,1533
2020/3/25,107741,1748
2020/3/26,98392,1647
2020/3/27,94011,1544
2020/3/28,93756,1436
2020/3/29,82986,1335
2020/3/30,75440,1210
2020/3/31,84574,1354
2020/4/1,92110,1537
2020/4/2,87249,1476
2020/4/3,89297,1419
2020/4/4,88062,1407
2020/4/5,82378,1318
2020/4/6,71001,1121
2020/4/7,77400,1254
2020/4/8,86289,1387
2020/4/9,92580,1487
2020/4/10,84064,1358
2020/4/11,76596,1255
2020/4/12,70893,1124
2020/4/13,79899,1208
2020/4/14,91404,1455
2020/4/15,93521,1476
2020/4/16,81055,1324
2020/4/17,77224,1252
2020/4/18,73294,1172
2020/4/19,68531,1083
2020/4/20,62563,1007
2020/4/21,70991,1149
2020/4/22,74774,1193
2020/4/23,73794,1193
2020/4/24,69050,1126
2020/4/25,63484,1003
2020/4/26,67404,1027
2020/4/27,60789,997
2020/4/28,64689,1029
2020/4/29,72333,1128
2020/4/30,60377,969
