用户id,物品
1,"果蔬,西点"
2,"非酒精饮料,熟食"
3,"西点,熟食"
4,"西点,果蔬,熟食"
5,"米粮调料,熟食,果蔬"
6,果蔬
7,"西点,果蔬,非酒精饮料"
8,"熟食,米粮调料,米粮调料"
9,非酒精饮料
10,"果蔬,米粮调料"
11,非酒精饮料
12,"西点,米粮调料,果蔬"
13,"熟食,果蔬,西点"
14,果蔬
15,"果蔬,西点"
16,"熟食,米粮调料"
17,"果蔬,米粮调料"
18,"西点,非酒精饮料"
19,"非酒精饮料,熟食"
20,"果蔬,米粮调料"
21,"米粮调料,果蔬,西点"
22,"米粮调料,熟食"
23,"非酒精饮料,果蔬"
24,"非酒精饮料,西点"
25,"西点,果蔬"
26,米粮调料
27,"米粮调料,果蔬"
28,西点
29,"果蔬,熟食,西点"
30,"果蔬,米粮调料"
31,熟食
32,"果蔬,熟食"
33,"果蔬,熟食,米粮调料"
34,"西点,果蔬,米粮调料"
35,"西点,果蔬"
36,"米粮调料,熟食,非酒精饮料"
37,"非酒精饮料,熟食"
38,"米粮调料,熟食,果蔬,非酒精饮料"
39,"非酒精饮料,米粮调料,非酒精饮料"
40,"熟食,果蔬,西点"
41,"非酒精饮料,非酒精饮料,西点"
42,"米粮调料,非酒精饮料"
43,"果蔬,非酒精饮料,米粮调料"
44,"西点,非酒精饮料,果蔬"
45,"熟食,熟食,西点"
46,"非酒精饮料,西点,米粮调料,熟食"
47,"米粮调料,果蔬"
48,"果蔬,非酒精饮料,西点"
49,"米粮调料,果蔬"
50,"熟食,非酒精饮料,米粮调料"
51,"果蔬,米粮调料,非酒精饮料"
52,"非酒精饮料,西点"
53,"米粮调料,熟食"
54,"果蔬,西点"
55,"果蔬,熟食"
56,"熟食,西点"
57,"果蔬,非酒精饮料"
58,"米粮调料,熟食,非酒精饮料"
59,"果蔬,熟食,非酒精饮料"
60,"西点,米粮调料,熟食"
61,"果蔬,米粮调料,熟食,西点"
62,"西点,熟食,果蔬"
63,"果蔬,熟食"
64,"非酒精饮料,西点"
65,"米粮调料,非酒精饮料"
66,"熟食,西点"
67,"果蔬,米粮调料,西点"
68,"非酒精饮料,米粮调料"
69,"熟食,米粮调料"
70,"米粮调料,西点,非酒精饮料"
71,"果蔬,非酒精饮料,西点"
72,"米粮调料,果蔬"
73,米粮调料
75,果蔬
76,"果蔬,西点"
77,"熟食,米粮调料"
78,非酒精饮料
79,"西点,熟食,果蔬"
80,"非酒精饮料,西点,非酒精饮料"
