order_id,user_id,price,platform,payment_provider,create_time,pay_time
2,47292399,248,android,wxpay,2020/4/5 16:17,2020/4/5 16:18
8,52799611,248,ios,applepay,2019/11/23 12:35,2020/4/1 12:04
15,107710922,25,ios,applepay,2019/10/2 20:18,2020/4/1 12:04
16,107710922,25,ios,applepay,2020/1/6 15:22,2020/4/1 12:05
19,58784014,25,ios,applepay,2019/12/7 20:55,2020/4/1 12:05
20,58784014,25,ios,applepay,2020/3/24 15:19,2020/3/24 15:20
21,58784014,68,ios,applepay,2020/6/23 19:12,2020/6/23 19:17
22,18237192,248,android,wxpay,2020/5/25 6:05,2020/5/25 6:06
25,98765645,68,ios,applepay,2019/11/24 21:28,2020/4/1 12:04
27,52524686,25,android,wxpay,2020/4/18 23:02,2020/4/18 23:03
28,96250785,25,ios,applepay,2019/10/5 22:14,2019/10/6 8:05
35,87901493,25,ios,applepay,2019/10/21 19:44,2019/10/21 20:32
37,88405412,248,android,wxpay,2020/3/19 23:23,2020/3/19 23:24
38,91848229,248,ios,applepay,2019/8/27 10:35,2020/4/1 12:03
48,96425181,25,android,wxpay,2020/4/15 8:27,2020/4/15 8:28
57,63246487,68,android,wxpay,2020/6/12 17:33,2020/6/12 17:34
60,45829473,248,ios,applepay,2019/11/27 22:12,2020/4/1 12:04
62,24489634,248,android,alipay,2019/12/5 11:03,2019/12/5 11:04
63,73161977,248,ios,applepay,2020/1/3 17:29,2020/1/3 17:41
64,65757051,25,android,wxpay,2020/5/21 9:41,2020/5/21 9:42
65,99727688,248,android,wxpay,2020/5/29 15:10,2020/5/29 15:11
69,81126339,25,android,wxpay,2020/5/27 21:39,2020/5/27 21:40
71,31026754,25,android,wxpay,2019/10/28 23:22,2019/10/28 23:23
75,56583464,248,android,alipay,2020/3/1 16:29,2020/3/1 16:30
76,56583464,68,android,wxpay,2019/8/24 15:56,2019/8/24 15:57
82,55513281,68,android,wxpay,2019/12/5 21:12,2019/12/5 21:13
107,101970338,68,ios,applepay,2019/12/4 21:01,2020/4/1 12:04
111,73069889,68,android,wxpay,2019/11/8 5:48,2019/11/8 5:49
113,100299659,25,android,wxpay,2019/10/7 9:38,2019/10/7 9:39
127,49559755,248,android,wxpay,2019/11/27 7:50,2019/11/27 7:51
133,81788880,248,ios,applepay,2020/5/28 15:05,2020/5/28 15:07
137,79410060,25,android,wxpay,2020/1/13 10:55,2020/1/13 10:56
143,50122807,25,android,alipay,2019/12/8 3:25,2019/12/8 3:26
146,9993456,248,android,alipay,2019/9/27 8:01,2019/9/27 8:02
149,80200640,25,android,wxpay,2020/6/13 10:24,2020/6/13 10:25
151,26247781,68,android,wxpay,2019/9/25 23:31,2019/9/25 23:32
156,80110092,68,ios,applepay,2020/6/15 2:02,2020/6/15 2:03
162,48972505,248,android,alipay,2020/6/7 14:29,2020/6/7 14:30
169,52801057,25,android,wxpay,2019/12/17 7:39,2019/12/17 7:40
172,78662803,248,android,alipay,2019/10/30 14:24,2019/10/30 14:25
174,87503089,68,android,wxpay,2020/1/27 23:13,2020/1/27 23:14
175,54093151,68,android,wxpay,2020/1/24 16:49,2020/1/24 16:50
176,99145250,248,android,wxpay,2019/8/28 12:04,2019/8/28 12:05
179,104313618,248,ios,applepay,2019/8/23 18:34,2020/4/1 12:03
180,107292240,248,android,wxpay,2020/1/3 11:57,2020/1/3 11:58
183,46936041,248,android,wxpay,2019/10/21 22:14,2019/10/21 22:15
187,48399295,25,android,alipay,2019/10/17 1:11,2019/10/17 1:12
189,45061995,248,android,wxpay,2020/7/8 9:57,2020/7/8 9:58
190,43975747,248,ios,applepay,2020/5/30 9:40,2020/5/30 9:41
198,107536860,248,android,wxpay,2020/2/10 22:27,2020/2/10 22:28
199,103192239,248,ios,wxpay,2019/11/2 22:21,2019/11/2 22:22
214,102546666,248,ios,applepay,2020/6/7 23:29,2020/6/7 23:37
220,93643608,248,android,alipay,2020/7/12 1:12,2020/7/12 1:13
230,97687505,248,android,wxpay,2020/2/23 11:03,2020/2/23 11:04
235,83163996,68,android,alipay,2019/9/4 14:21,2019/9/4 14:22
236,66024670,68,ios,applepay,2019/9/20 19:32,2020/4/1 12:03
239,30329637,248,ios,applepay,2020/6/2 21:20,2020/6/2 21:21
240,98136118,248,android,wxpay,2020/6/2 9:24,2020/6/2 9:25
245,71452381,25,android,alipay,2019/9/7 10:43,2019/9/7 10:44
